text,sentiment,source,date
Reliance reports 11% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.352796
ITC reports 30% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.353902
ITC shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353871
HDFC Bank stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.353519
Reliance reports 21% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.353269
HDFC Bank stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.354810
Firm faces bankruptcy risk as debt levels reach critical levels,0,manual,2025-10-26T13:43:54.359857
Bharti Airtel shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353328
TCS faces 28% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352172
Infosys stock falls 23% after earnings miss,0,synthetic,2025-10-26T13:43:54.351857
HDFC Bank reports 16% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.352414
Reliance stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.352829
L&T stock falls 7% after earnings miss,0,synthetic,2025-10-26T13:43:54.354653
L&T shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.354871
Bharti Airtel stock falls 18% after earnings miss,0,synthetic,2025-10-26T13:43:54.354275
ITC reports 10% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.351991
ITC stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.354368
Asian Paints stock falls 10% after earnings miss,0,synthetic,2025-10-26T13:43:54.352891
TCS faces 14% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352229
TCS shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.352675
Infosys shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.354957
L&T stock falls 12% after earnings miss,0,synthetic,2025-10-26T13:43:54.353580
Reliance stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.352549
TCS faces 12% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.354245
Reliance shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353239
Reliance reports 17% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.354111
