text,sentiment
Wipro stock jumps 10% after announcing major digital transformation deal with Fortune 500 company,2
Sun Pharma maintains steady performance in domestic and international markets with consistent growth,1
HCL Technologies reports strong revenue growth with excellent margins and robust client additions,2
"Wipro stock crashes following disappointing results, massive layoff announcements and client contract losses",0
ONGC gains on higher crude prices and improved production from key fields,2
Asian Paints maintains market share with steady volume growth in decorative segment,1
ONGC gains on higher crude prices and improved production from key fields,2
Wipro stock jumps 10% after announcing major digital transformation deal with Fortune 500 company,2
ICICI Bank delivers stellar quarterly results with profit growth and improving asset quality,2
Asian Paints beats estimates with exceptional volume growth and margin expansion in decorative segment,2
ONGC gains on higher crude prices and improved production from key fields,2
Axis Bank shares fall on asset quality concerns and slower loan growth,0
Kotak Mahindra Bank reports quarterly results as expected by analysts with no major surprises in key metrics,1
Reliance Industries reports record quarterly profit with exceptional 25% growth across all business segments,2
Asian Paints maintains market share with steady volume growth in decorative segment,1
L&T faces major project delays and cost overruns leading to significant margin pressure,0
ITC reports exceptional performance with double-digit growth in FMCG business and cigarette volumes,2
Infosys faces serious investigation over regulatory compliance issues affecting major operations and client relationships,0
ITC shares fall 12% after government announces steep tobacco tax increase and stricter packaging regulations,0
Maruti Suzuki announces record sales numbers with strong demand across all segments and new model launches,2
HCL Technologies reports strong revenue growth with excellent margins and robust client additions,2
Kotak Mahindra Bank reports quarterly results as expected by analysts with no major surprises in key metrics,1
Bajaj Finance reports consistent growth in line with industry averages and regulatory guidelines,1
Axis Bank shares fall on asset quality concerns and slower loan growth,0
Infosys faces serious investigation over regulatory compliance issues affecting major operations and client relationships,0
"Sensex crashes 1200 points amid massive global sell-off, rupee weakness and FII outflows",0
Wipro stock jumps 10% after announcing major digital transformation deal with Fortune 500 company,2
TCS maintains stable revenue growth with consistent margin profile across verticals,1
Reliance Industries continues planned maintenance activities across refining operations,1
Infosys faces serious investigation over regulatory compliance issues affecting major operations and client relationships,0
Reliance Industries reports record quarterly profit with exceptional 25% growth across all business segments,2
Infosys continues to execute on strategic priorities with steady client engagement,1
Titan Company rallies on strong jewelry sales and expansion in new markets,2
HCL Technologies disappoints with flat revenue growth and declining margins in key verticals,0
HDFC Bank maintains lending growth in line with regulatory guidelines and risk appetite,1
HDFC Bank maintains lending growth in line with regulatory guidelines and risk appetite,1
HDFC Bank reports outstanding Q3 results with 28% YoY profit growth and robust asset quality metrics exceeding expectations,2
Banking sector under severe pressure as RBI raises serious concerns over deteriorating asset quality,0
HCL Technologies disappoints with flat revenue growth and declining margins in key verticals,0
"L&T wins major infrastructure projects worth Rs 25,000 crore boosting order book substantially",2
HDFC Bank reports outstanding Q3 results with 28% YoY profit growth and robust asset quality metrics exceeding expectations,2
ONGC gains on higher crude prices and improved production from key fields,2
L&T faces major project delays and cost overruns leading to significant margin pressure,0
HCL Technologies reports flat revenue growth in line with management guidance and current market conditions,1
Maruti Suzuki reports sales in line with industry trends and seasonal patterns,1
ICICI Bank maintains stable asset quality metrics as per regulatory requirements and industry standards,1
Bajaj Finance reports exceptional growth in customer base and loan book expansion,2
ONGC declines on lower crude prices and production challenges,0
Sun Pharma faces FDA warning letter and regulatory issues affecting key manufacturing facilities,0
Maruti Suzuki reports sales in line with industry trends and seasonal patterns,1
Axis Bank shares fall on asset quality concerns and slower loan growth,0
ICICI Bank reports rising bad loans and provisioning requirements impacting profitability,0
Banking sector under severe pressure as RBI raises serious concerns over deteriorating asset quality,0
Reliance Industries reports record quarterly profit with exceptional 25% growth across all business segments,2
Maruti Suzuki announces record sales numbers with strong demand across all segments and new model launches,2
Axis Bank shares rally on strong loan growth and declining NPAs across all segments,2
Kotak Mahindra Bank beats estimates with strong NIMs and fee income growth,2
UltraTech Cement falls on weak demand and rising input costs impacting margins,0
Infosys faces serious investigation over regulatory compliance issues affecting major operations and client relationships,0
Reliance Industries reports significant decline in refining margins and petrochemical business impacting overall profitability,0
Bharti Airtel stock rallies 12% on strong subscriber additions and significant ARPU improvement in key markets,2
L&T faces major project delays and cost overruns leading to significant margin pressure,0
Nifty 50 trades in narrow range with mixed sectoral performance and moderate volumes,1
"Wipro stock crashes following disappointing results, massive layoff announcements and client contract losses",0
ITC reports exceptional performance with double-digit growth in FMCG business and cigarette volumes,2
Titan Company rallies on strong jewelry sales and expansion in new markets,2
Bajaj Finance reports consistent growth in line with industry averages and regulatory guidelines,1
UltraTech Cement falls on weak demand and rising input costs impacting margins,0
"Wipro stock crashes following disappointing results, massive layoff announcements and client contract losses",0
